time,kf_x0,kf_x1,kf_x2,kf_x3,qei_alpha_estimate,qei_omega,qei_omega_filtered,qei_theta,motor_voltage
5.315,1.27556757926941,-0.427315086126326,-0.586672139167785,-0.00984939248301017,-11.1241260528565,0,-0.445174819231032,1.27556757926941,-6.18412322998046
5.316,1.27550621032715,-0.43720453977585,-0.58945416212082,-0.0138875293545432,-11.0502895355224,0,-0.454805248975755,1.27550621032715,-6.22971229553223
5.317,1.27544484138489,-0.447093993425375,-0.592236185073854,-0.0179256662260763,-10.9764530181884,0,-0.464435678720479,1.27544484138489,-6.27530136108401
5.318,1.27538347244263,-0.45698344707489,-0.595018208026886,-0.0219638030976057,-10.9026165008545,0,-0.474066108465195,1.27538347244263,-6.32089042663574
5.319,1.27538347244263,-0.464927697181703,-0.599344015121461,-0.0265337795019158,-10.901686668396,0,-0.481245672702791,1.27538347244263,-6.37640781402589
5.32,1.27538347244263,-0.472871947288516,-0.603669822216035,-0.0311037559062259,-10.9007568359375,0,-0.488425236940386,1.27538347244263,-6.43192520141604
5.321,1.27538347244263,-0.480816197395322,-0.607995629310606,-0.0356737323105319,-10.899827003479,0,-0.495604801177976,1.27538347244263,-6.48744258880613
5.322,1.27538347244263,-0.488760447502135,-0.612321436405181,-0.040243708714842,-10.8988971710205,0,-0.502784365415572,1.27538347244263,-6.54295997619628
5.323,1.27538347244263,-0.496704697608941,-0.616647243499752,-0.044813685119148,-10.897967338562,0,-0.509963929653161,1.27538347244263,-6.59847736358638
5.324,1.27538347244263,-0.505616605281826,-0.622050762176511,-0.0504627153277372,-10.898580789566,0,-0.518388137221333,1.27538347244263,-6.66574347019193
5.325,1.27538347244263,-0.514528512954712,-0.627454280853271,-0.0561117455363274,-10.8991942405701,0,-0.526812344789505,1.27538347244263,-6.73300957679749
5.326,1.27538347244263,-0.52344042062759,-0.632857799530027,-0.0617607757449125,-10.8998076915741,0,-0.53523655235767,1.27538347244263,-6.80027568340299
5.327,1.27538347244263,-0.532352328300476,-0.638261318206787,-0.0674098059535027,-10.9004211425781,0,-0.543660759925842,1.27538347244263,-6.86754179000854
5.328,1.27538347244263,-0.540183216333391,-0.642247185111047,-0.0728807207196963,-10.8661217689514,0,-0.551382437348367,1.27538347244263,-6.91975748538972
5.329,1.27538347244263,-0.548014104366299,-0.646233052015303,-0.0783516354858851,-10.8318223953247,0,-0.559104114770886,1.27538347244263,-6.97197318077085
5.33,1.27538347244263,-0.555844992399214,-0.650218918919562,-0.0838225502520788,-10.797523021698,0,-0.566825792193411,1.27538347244263,-7.02418887615203
5.331,1.27538347244263,-0.563675880432122,-0.654204785823819,-0.0892934650182675,-10.7632236480713,0,-0.574547469615929,1.27538347244263,-7.07640457153316
5.332,1.27538347244263,-0.570847272872922,-0.65817831456661,-0.0947756990790343,-10.7356808185578,0,-0.581624567508694,1.27538347244263,-7.127149105072
5.333,1.27538347244263,-0.578018665313721,-0.662151843309402,-0.100257933139801,-10.7081379890442,0,-0.588701665401459,1.27538347244263,-7.17789363861084
5.334,1.27538347244263,-0.585190057754513,-0.666125372052191,-0.105740167200563,-10.6805951595307,0,-0.595778763294217,1.27538347244263,-7.22863817214964
5.335,1.27538347244263,-0.592361450195312,-0.670098900794983,-0.11122240126133,-10.6530523300171,0,-0.602855861186981,1.27538347244263,-7.27938270568848
5.336,1.27535253763199,-0.599449917674066,-0.67396266758442,-0.116972398012878,-10.6224749088287,0,-0.609675675630571,1.27538347244263,-7.32861042022706
5.337,1.27532160282135,-0.606538385152814,-0.677826434373854,-0.122722394764421,-10.5918974876404,0,-0.616495490074155,1.27538347244263,-7.3778381347656
5.338,1.27529066801071,-0.613626852631567,-0.681690201163291,-0.128472391515969,-10.561320066452,0,-0.623315304517744,1.27538347244263,-7.42706584930419
5.339,1.27525973320007,-0.620715320110315,-0.685553967952725,-0.134222388267512,-10.5307426452637,0,-0.630135118961328,1.27538347244263,-7.47629356384273
5.34,1.27529066801071,-0.627199217677114,-0.689304471015929,-0.140230923891065,-10.4972066879273,0,-0.63669170439243,1.27538347244263,-7.52395939826963
5.341,1.27532160282135,-0.633683115243912,-0.693054974079132,-0.146239459514618,-10.4636707305908,0,-0.643248289823532,1.27538347244263,-7.57162523269653
5.342,1.27535253763199,-0.640167012810704,-0.696805477142332,-0.152247995138166,-10.4301347732544,0,-0.649804875254628,1.27538347244263,-7.61929106712339
5.343,1.27538347244263,-0.646650910377502,-0.700555980205536,-0.158256530761719,-10.396598815918,0,-0.65636146068573,1.27538347244263,-7.66695690155029
5.344,1.27538347244263,-0.653379499912263,-0.704111576080323,-0.164848554879428,-10.3508121967316,0,-0.662973374128343,1.27538347244263,-7.71301746368409
5.345,1.27538347244263,-0.660108089447018,-0.707667171955107,-0.171440578997132,-10.3050255775452,0,-0.66958528757095,1.27538347244263,-7.75907802581785
5.346,1.27538347244263,-0.666836678981779,-0.711222767829894,-0.178032603114842,-10.2592389583588,0,-0.676197201013564,1.27538347244263,-7.80513858795165
5.347,1.27538347244263,-0.673565268516535,-0.714778363704678,-0.184624627232546,-10.2134523391724,0,-0.682809114456171,1.27538347244263,-7.85119915008541
5.348,1.2753067612648,-0.680065304040906,-0.718204811215399,-0.190368078649041,-10.1763417720795,-0.383495211601087,-0.689631193876263,1.27523005008698,-7.89561176300047
5.349,1.27523005008698,-0.686565339565277,-0.72163125872612,-0.196111530065536,-10.1392312049866,-0.766990423202515,-0.696453273296356,1.27507662773132,-7.94002437591553
5.35,1.27515333890915,-0.693065375089642,-0.725057706236838,-0.201854981482026,-10.1021206378937,-1.1504856348036,-0.703275352716443,1.27492320537567,-7.98443698883055
5.351,1.27507662773132,-0.699565410614014,-0.728484153747559,-0.207598432898521,-10.0650100708008,-1.53398084640503,-0.710097432136536,1.27476978302002,-8.02884960174561
5.352,1.27487206459045,-0.708458900451663,-0.732751349608105,-0.214566141366961,-10.0110511779785,-1.53398084640503,-0.718845287958783,1.27456521987915,-8.08581479390464
5.353,1.27466750144958,-0.717352390289304,-0.737018545468647,-0.221533849835394,-9.95709228515627,-1.53398084640503,-0.727593143781024,1.27436065673828,-8.14277998606362
5.354,1.27446293830872,-0.726245880126953,-0.741285741329193,-0.228501558303833,-9.90313339233398,-1.53398084640503,-0.736340999603271,1.27415609359741,-8.19974517822266
5.355,1.27430951595306,-0.732583165168759,-0.743255242705344,-0.233977533876893,-9.82198476791385,-1.53398084640503,-0.743219554424283,1.27392596006393,-8.23065590858458
5.356,1.27415609359741,-0.738920450210571,-0.745224744081497,-0.239453509449959,-9.74083614349365,-1.53398084640503,-0.7500981092453,1.27369582653046,-8.26156663894653
5.357,1.27400267124176,-0.745257735252383,-0.74719424545765,-0.244929485023024,-9.65968751907345,-1.53398084640503,-0.756976664066318,1.27346569299698,-8.29247736930849
5.358,1.27384924888611,-0.751595020294189,-0.749163746833801,-0.250405460596085,-9.57853889465332,-1.53398084640503,-0.763855218887329,1.2732355594635,-8.32338809967041
5.359,1.2735424041748,-0.758628070354463,-0.751944229006768,-0.254985213279725,-9.5295922756195,-1.15048563480369,-0.770747229456903,1.2729287147522,-8.36306166648866
5.36,1.2732355594635,-0.765661120414737,-0.754724711179735,-0.259564965963366,-9.48064565658567,-0.766990423202344,-0.777639240026477,1.27262187004089,-8.4027352333069
5.361,1.2729287147522,-0.772694170475005,-0.757505193352699,-0.264144718647002,-9.43169903755189,-0.383495211601342,-0.784531250596045,1.27231502532959,-8.44240880012511
5.362,1.27262187004089,-0.779727220535278,-0.760285675525665,-0.268724471330643,-9.38275241851807,0,-0.791423261165619,1.27200818061829,-8.48208236694336
5.363,1.27223831415176,-0.787106767296788,-0.762788027524947,-0.273219041526316,-9.30725526809696,-0.383495211601087,-0.799523934721943,1.27154791355133,-8.51996088027952
5.364,1.27185475826263,-0.794486314058304,-0.765290379524231,-0.277713611721992,-9.23175811767578,-0.766990423202515,-0.807624608278275,1.27108764648438,-8.55783939361572
5.365,1.2714712023735,-0.80186586081982,-0.767792731523515,-0.282208181917669,-9.1562609672546,-1.15048563480394,-0.815725281834606,1.27062737941742,-8.59571790695192
5.366,1.27108764648438,-0.809245407581329,-0.770295083522797,-0.286702752113342,-9.0807638168335,-1.53398084640503,-0.82382595539093,1.27016711235046,-8.63359642028809
5.367,1.27065806388855,-0.815617835521699,-0.772028410434723,-0.289659559726716,-9.04104499816894,-1.53398084640503,-0.829689943790437,1.26973752975464,-8.66243476867676
5.368,1.27022848129272,-0.821990263462069,-0.77376173734665,-0.292616367340089,-9.00132617950438,-1.53398084640503,-0.835553932189943,1.26930794715881,-8.69127311706544
5.369,1.2697988986969,-0.828362691402433,-0.775495064258575,-0.29557317495346,-8.96160736083986,-1.53398084640503,-0.841417920589445,1.26887836456299,-8.72011146545409
5.37,1.26936931610107,-0.834735119342803,-0.777228391170501,-0.298529982566833,-8.9218885421753,-1.53398084640503,-0.847281908988952,1.26844878196716,-8.74894981384277
5.371,1.26893973350525,-0.841107547283167,-0.778961718082426,-0.301486790180204,-8.88216972351078,-1.53398084640503,-0.853145897388453,1.26801919937134,-8.77778816223142
5.372,1.26832604408264,-0.849108085036274,-0.781827107071875,-0.303900264203547,-8.84804034233095,-1.15048563480394,-0.861202269792553,1.2673287987709,-8.82022094726561
5.373,1.26771235466003,-0.857108622789383,-0.784692496061325,-0.306313738226891,-8.81391096115112,-0.766990423202515,-0.869258642196655,1.26663839817047,-8.8626537322998
5.374,1.26709866523743,-0.865109160542485,-0.787557885050772,-0.308727212250232,-8.77978157997133,-0.383495211601428,-0.87731501460075,1.26594799757004,-8.90508651733397
5.375,1.26648497581482,-0.873109698295593,-0.790423274040222,-0.311140686273575,-8.7456521987915,0,-0.885371387004852,1.2652575969696,-8.94751930236816
5.376,1.26571786403656,-0.880766555666927,-0.792192101478578,-0.312338054180146,-8.69908094406126,-0.383495211601428,-0.893549829721454,1.26441377401352,-8.97932410240175
5.377,1.2649507522583,-0.888423413038254,-0.793960928916931,-0.313535422086716,-8.65250968933105,-0.766990423202515,-0.901728272438049,1.26356995105743,-9.0111289024353
5.378,1.26418364048004,-0.896080270409587,-0.795729756355286,-0.314732789993287,-8.60593843460081,-1.15048563480394,-0.909906715154651,1.26272612810135,-9.04293370246889
5.379,1.26341652870178,-0.903737127780914,-0.79749858379364,-0.315930157899857,-8.55936717987061,-1.53398084640503,-0.918085157871246,1.26188230514526,-9.07473850250244
5.38,1.26244908571243,-0.91270160675049,-0.798754423856735,-0.315630823373795,-8.50405335426329,-1.15048563480369,-0.926878899335863,1.26088505983353,-9.10460615158082
5.381,1.26148164272308,-0.921666085720066,-0.800010263919831,-0.315331488847732,-8.44873952865598,-0.766990423202344,-0.93567264080048,1.25988781452179,-9.13447380065919
5.382,1.26051419973373,-0.930630564689634,-0.801266103982925,-0.315032154321671,-8.39342570304872,-0.383495211601342,-0.944466382265089,1.25889056921005,-9.16434144973754
5.383,1.25954675674438,-0.93959504365921,-0.802521944046021,-0.314732819795609,-8.33811187744141,0,-0.953260123729706,1.25789332389832,-9.19420909881592
5.384,1.25836628675461,-0.949149399995808,-0.803426206111908,-0.312810197472571,-8.28229308128354,-0.383495211601428,-0.962921634316449,1.25666597485542,-9.22211027145387
5.385,1.25718581676483,-0.958703756332397,-0.804330468177795,-0.310887575149536,-8.22647428512573,-0.766990423202515,-0.972583144903183,1.25543862581253,-9.2500114440918
5.386,1.25600534677505,-0.968258112668995,-0.805234730243683,-0.308964952826499,-8.17065548896787,-1.15048563480394,-0.982244655489926,1.25421127676964,-9.27791261672975
