time,qei_theta,qei_omega_filtered,qei_alpha_estimate,reference_position,reference_velocity,reference_acceleration
1335.763,0,0,0,0,0,0
1335.764,0,0,0,0,0,0
1335.765,0,0,0,0,0,0
1335.766,0,0,0,0,0,0
1335.767,0,0,0,0,0,0
1335.768,0,0,0,0,0,0
1335.769,0,0,0,0,0,0
1335.77,0,0,0,0,0,0
1335.771,0,0,0,0,0,0
1335.772,0,0,0,0,0,0
1335.773,0,0,0,0,0,0
1335.774,0,0,0,0,0,0
1335.775,0,0,0,0,0,0
1335.776,0,0,0,0,0,0
1335.777,0,0,0,0,0,0
1335.778,0,0,0,0,0,0
1335.779,0,0,0,0,0,0
1335.78,0,0,0,0,0,0
1335.781,0,0,0,0,0,0
1335.782,0,0,0,0,0,0
1335.783,0,0,0,0,0,0
1335.784,0,0,0,0,0,0
1335.785,0,0,0,0,0,0
1335.786,0,0,0,0,0,0
1335.787,0,0,0,0,0,0
1335.788,0,0,0,0,0,0
1335.789,0,0,0,0,0,0
1335.79,0,0,0,0,0,0
1335.791,0,0,0,0,0,0
1335.792,0,0,0,0,0,0
1335.793,0,0,0,0,0,0
1335.794,0,0,0,0,0,0
1335.795,0,0,0,0,0,0
1335.796,0,0,0,0,0,0
1335.797,0,0,0,0,0,0
1335.798,0,0,0,0,0,0
1335.799,0,0,0,0,0,0
1335.8,0,0,0,0,0,0
1335.801,0,0,0,0,0,0
1335.802,0,0,0,0,0,0
1335.803,0,0,0,0,0,0
1335.804,0,0,0,0,0,0
1335.805,0,0,0,0,0,0
1335.806,0,0,0,0,0,0
1335.807,0,0,0,0,0,0
1335.808,0,0,0,0,0,0
1335.809,0,0,0,0,0,0
1335.81,0,0,0,0,0,0
1335.811,0,0,0,0,0,0
1335.812,0,0,0,0,0,0
1335.813,0,0,0,0,0,0
1335.814,0,0,0,0,0,0
1335.815,0,0,0,0,0,0
1335.816,0,0,0,0,0,0
1335.817,0,0,0,0,0,0
1335.818,0,0,0,0,0,0
1335.819,0,0,0,0,0,0
1335.82,0,0,0,0,0,0
1335.821,0,0,0,0,0,0
1335.822,0,0,0,0,0,0
1335.823,0,0,0,0,0,0
1335.824,0,0,0,0,0,0
1335.825,0,0,0,0,0,0
1335.826,0,0,0,0,0,0
1335.827,0,0,0,0,0,0
1335.828,0,0,0,0,0,0
1335.829,0,0,0,0,0,0
1335.83,0,0,0,0,0,0
1335.831,0,0,0,0,0,0
1335.832,0,0,0,0,0,0
1335.833,0,0,0,0,0,0
1335.834,0,0,0,0,0,0
1335.835,0,0,0,0,0,0
1335.836,0,0,0,0,0,0
1335.837,0,0,0,0,0,0
1335.838,0,0,0,0,0,0
1335.839,0,0,0,0,0,0
1335.84,0,0,0,0,0,0
1335.841,0,0,0,0,0,0
1335.842,0,0,0,0,0,0
1335.843,0,0,0,0,0,0
1335.844,0,0,0,0,0,0
1335.845,0,0,0,0,0,0
1335.846,0,0,0,0,0,0
1335.847,0,0,0,0,0,0
1335.848,0,0,0,0,0,0
1335.849,0,0,0,0,0,0
