time,qei_omega,qei_omega_filtered,reference_velocity,reference_position
7.062,0,0.00142298871651292,0,1.570796251297
7.063,0,0.00142276682890952,0,1.570796251297
7.064,0,0.00142254494130611,0,1.570796251297
7.065,0,0.00142232305370271,0,1.570796251297
7.066,0,0.00142209260957316,0,1.570796251297
7.067,0,0.0014218621654436,0,1.570796251297
7.068,0,0.00142163172131404,0,1.570796251297
7.069,0,0.00142140127718449,0,1.570796251297
7.07,0,0.00142118512303568,0,1.570796251297
7.071,0,0.00142096896888688,0,1.570796251297
7.072,0,0.00142075281473808,0,1.570796251297
7.073,0,0.00142053666058928,0,1.570796251297
7.074,0,0.00142034381860867,0,1.570796251297
7.075,0,0.00142015097662807,0,1.570796251297
7.076,0,0.00141995813464746,0,1.570796251297
7.077,0,0.00141976529266685,0,1.570796251297
7.078,0,0.00141956433071755,0,1.570796251297
7.079,0,0.00141936336876824,0,1.570796251297
7.08,0,0.00141916240681894,0,1.570796251297
7.081,0,0.00141896144486964,0,1.570796251297
7.082,0,0.00141877395799384,0,1.570796251297
7.083,0,0.00141858647111803,0,1.570796251297
7.084,0,0.00141839898424223,0,1.570796251297
7.085,0,0.00141821149736643,0,1.570796251297
7.086,0,0.00141801554127596,0,1.570796251297
7.087,0,0.0014178195851855,0,1.570796251297
7.088,0,0.00141762362909503,0,1.570796251297
7.089,0,0.00141742767300457,0,1.570796251297
7.09,0,0.00141724475543015,0,1.570796251297
7.091,0,0.00141706183785573,0,1.570796251297
7.092,0,0.00141687892028131,0,1.570796251297
7.093,0,0.00141669600270689,0,1.570796251297
7.094,0,0.00141650589648634,0,1.570796251297
7.095,0,0.0014163157902658,0,1.570796251297
7.096,0,0.00141612568404526,0,1.570796251297
7.097,0,0.00141593557782471,0,1.570796251297
7.098,0,0.00141575609450229,0,1.570796251297
7.099,0,0.00141557661117986,0,1.570796251297
7.1,0,0.00141539712785743,0,1.570796251297
7.101,0,0.00141521764453501,0,1.570796251297
7.102,0,0.00141506959334947,0,1.570796251297
7.103,0,0.00141492154216394,0,1.570796251297
7.104,0,0.0014147734909784,0,1.570796251297
7.105,0,0.00141462543979287,0,1.570796251297
7.106,0,0.00141436845296994,0,1.570796251297
7.107,0,0.00141411146614701,0,1.570796251297
7.108,0,0.00141383191415419,0,1.570796251297
7.109,0,0.00141355236216138,0,1.570796251297
7.11,0,0.00141327281016856,0,1.570796251297
7.111,0,0.00141313741914928,0,1.570796251297
7.112,0,0.00141300202813,0,1.570796251297
7.113,0,0.00141286663711071,0,1.570796251297
7.114,0,0.00141273124609143,0,1.570796251297
7.115,0,0.00141259585507214,0,1.570796251297
7.116,0,0.0014124280132819,0,1.570796251297
7.117,0,0.00141226017149165,0,1.570796251297
7.118,0,0.00141209232970141,0,1.570796251297
7.119,0,0.00141192448791116,0,1.570796251297
7.12,0,0.00141173702043792,0,1.570796251297
7.121,0,0.00141154955296467,0,1.570796251297
7.122,0,0.00141136208549142,0,1.570796251297
7.123,0,0.00141122422064655,0,1.570796251297
7.124,0,0.00141108635580167,0,1.570796251297
7.125,0,0.0014109484909568,0,1.570796251297
7.126,0,0.00141081062611192,0,1.570796251297
7.127,0,0.00141060631722212,0,1.570796251297
7.128,0,0.00141040200833231,0,1.570796251297
7.129,0,0.00141019769944251,0,1.570796251297
7.13,0,0.00141004493343644,0,1.570796251297
7.131,0,0.00140989216743037,0,1.570796251297
7.132,0,0.0014097394014243,0,1.570796251297
7.133,0,0.00140958663541824,0,1.570796251297
7.134,0,0.00140942825237289,0,1.570796251297
