time,qei_omega,qei_omega_filtered,reference_velocity,reference_position
3.683,0,-0.00343584719424446,0,1.19209289550781e-07
3.684,0,-0.00343584773751597,0,1.19209289550781e-07
3.685,0,-0.00343584828078747,0,1.19209289550781e-07
3.686,0,-0.00343584851361811,0,1.19209289550781e-07
3.687,0,-0.00343584874644876,0,1.19209289550781e-07
3.688,0,-0.0034358489792794,0,1.19209289550781e-07
3.689,0,-0.00343584928972026,0,1.19209289550781e-07
3.69,0,-0.00343584960016112,0,1.19209289550781e-07
3.691,0,-0.00343584991060197,0,1.19209289550781e-07
3.692,0,-0.00343585037626326,0,1.19209289550781e-07
3.693,0,-0.00343585084192455,0,1.19209289550781e-07
3.694,0,-0.00343585130758584,0,1.19209289550781e-07
3.695,0,-0.00343585161802669,0,1.19209289550781e-07
3.696,0,-0.00343585192846755,0,1.19209289550781e-07
3.697,0,-0.00343585223890841,0,1.19209289550781e-07
3.698,0,-0.00343585239412884,0,1.19209289550781e-07
3.699,0,-0.00343585254934927,0,1.19209289550781e-07
3.7,0,-0.0034358527045697,0,1.19209289550781e-07
3.701,0,-0.0034358527045697,0,1.19209289550781e-07
3.702,0,-0.0034358527045697,0,1.19209289550781e-07
3.703,0,-0.0034358527045697,0,1.19209289550781e-07
3.704,0,-0.0034358527045697,0,1.19209289550781e-07
3.705,0,-0.0034358527045697,0,1.19209289550781e-07
3.706,0,-0.0034358527045697,0,1.19209289550781e-07
3.707,0,-0.00343585285979013,0,1.19209289550781e-07
3.708,0,-0.00343585301501056,0,1.19209289550781e-07
3.709,0,-0.00343585317023098,0,1.19209289550781e-07
3.71,0,-0.00343585332545141,0,1.19209289550781e-07
3.711,0,-0.00343585348067184,0,1.19209289550781e-07
3.712,0,-0.00343585363589227,0,1.19209289550781e-07
3.713,0,-0.0034358537911127,0,1.19209289550781e-07
3.714,0,-0.00343585394633313,0,1.19209289550781e-07
3.715,0,-0.00343585410155356,0,1.19209289550781e-07
3.716,0,-0.00343585448960463,0,1.19209289550781e-07
3.717,0,-0.0034358548776557,0,1.19209289550781e-07
3.718,0,-0.00343585526570678,0,1.19209289550781e-07
3.719,0,-0.00343585549853742,0,1.19209289550781e-07
3.72,0,-0.00343585573136806,0,1.19209289550781e-07
3.721,0,-0.00343585596419871,0,1.19209289550781e-07
3.722,0,-0.00343585650747021,0,1.19209289550781e-07
3.723,0,-0.00343585705074171,0,1.19209289550781e-07
3.724,0,-0.00343585759401321,0,1.19209289550781e-07
3.725,0,-0.00343585788505152,0,1.19209289550781e-07
3.726,0,-0.00343585817608982,0,1.19209289550781e-07
3.727,0,-0.00343585846712813,0,1.19209289550781e-07
3.728,0,-0.00343585875816643,0,1.19209289550781e-07
3.729,0,-0.00343585922382772,0,1.19209289550781e-07
3.73,0,-0.00343585968948901,0,1.19209289550781e-07
3.731,0,-0.00343586015515029,0,1.19209289550781e-07
3.732,0,-0.0034358604461886,0,1.19209289550781e-07
3.733,0,-0.0034358607372269,0,1.19209289550781e-07
3.734,0,-0.00343586102826521,0,1.19209289550781e-07
3.735,0,-0.00343586131930351,0,1.19209289550781e-07
3.736,0,-0.00343586155213416,0,1.19209289550781e-07
