time,qei_omega,qei_omega_filtered,reference_velocity,reference_position
85.599,0,6.87318291170413e-09,0,0
85.6,0,6.85187728777222e-09,0,0
85.601,0,6.8305716638406e-09,0,0
85.602,0,6.80926603990868e-09,0,0
85.603,0,6.78796041597671e-09,0,0
85.604,0,6.76300378662127e-09,0,0
85.605,0,6.73804715726547e-09,0,0
85.606,0,6.7130905279097e-09,0,0
85.607,0,6.68999700081932e-09,0,0
85.608,0,6.66690347372862e-09,0,0
85.609,0,6.64380994663791e-09,0,0
85.61,0,6.62071641954753e-09,0,0
85.611,0,6.60019860987397e-09,0,0
85.612,0,6.5796808002004e-09,0,0
85.613,0,6.55916299052713e-09,0,0
85.614,0,6.53864518085356e-09,0,0
85.615,0,6.51459449348586e-09,0,0
85.616,0,6.49054380611851e-09,0,0
85.617,0,6.4664931187508e-09,0,0
85.618,0,6.4383165465641e-09,0,0
85.619,0,6.41013997437781e-09,0,0
85.62,0,6.3819634021911e-09,0,0
85.621,0,6.36109209750642e-09,0,0
85.622,0,6.34022079282204e-09,0,0
85.623,0,6.31934948813736e-09,0,0
85.624,0,6.29847818345269e-09,0,0
85.625,0,6.27894536364686e-09,0,0
85.626,0,6.25941254384074e-09,0,0
85.627,0,6.23987972403463e-09,0,0
85.628,0,6.22034690422879e-09,0,0
85.629,0,6.20108231430543e-09,0,0
85.63,0,6.18181772438206e-09,0,0
85.631,0,6.16255313445897e-09,0,0
85.632,0,6.14328854453561e-09,0,0
85.633,0,6.11649279373207e-09,0,0
85.634,0,6.08969704292892e-09,0,0
85.635,0,6.06290129212539e-09,0,0
85.636,0,6.0441074367644e-09,0,0
85.637,0,6.02531358140368e-09,0,0
85.638,0,6.00651972604269e-09,0,0
85.639,0,5.98772587068168e-09,0,0
85.64,0,5.96713611855641e-09,0,0
85.641,0,5.94654636643085e-09,0,0
85.642,0,5.92595661430529e-09,0,0
85.643,0,5.90536686218002e-09,0,0
85.644,0,5.88605164608673e-09,0,0
85.645,0,5.86673642999344e-09,0,0
85.646,0,5.84742121390043e-09,0,0
85.647,0,5.82810599780714e-09,0,0
85.648,0,5.80804737637649e-09,0,0
85.649,0,5.78798875494613e-09,0,0
85.65,0,5.76793013351548e-09,0,0
85.651,0,5.74787151208481e-09,0,0
85.652,0,5.72677076130872e-09,0,0
85.653,0,5.70567001053233e-09,0,0
85.654,0,5.68456925975595e-09,0,0
85.655,0,5.66403102197903e-09,0,0
85.656,0,5.64349278420181e-09,0,0
85.657,0,5.62295454642459e-09,0,0
85.658,0,5.60241630864766e-09,0,0
85.659,0,5.58795143490437e-09,0,0
85.66,0,5.57348656116109e-09,0,0
85.661,0,5.559021687418e-09,0,0
85.662,0,5.54455681367472e-09,0,0
85.663,0,5.52414292087623e-09,0,0
85.664,0,5.50372902807804e-09,0,0
85.665,0,5.48331513527955e-09,0,0
85.666,0,5.46444193597978e-09,0,0
85.667,0,5.44556873668028e-09,0,0
85.668,0,5.42669553738051e-09,0,0
85.669,0,5.40424357116828e-09,0,0
85.67,0,5.38179160495636e-09,0,0
85.671,0,5.35933963874413e-09,0,0
85.672,0,5.34181854305858e-09,0,0
85.673,0,5.32429744737328e-09,0,0
85.674,0,5.30677635168773e-09,0,0
85.675,0,5.28925525600243e-09,0,0
85.676,0,5.26739185602299e-09,0,0
85.677,0,5.24552845604355e-09,0,0
85.678,0,5.22366505606442e-09,0,0
85.679,0,5.20928189473574e-09,0,0
85.68,0,5.19489873340707e-09,0,0
85.681,0,5.1805155720786e-09,0,0
85.682,0,5.16613241074992e-09,0,0
85.683,0,5.14359754788519e-09,0,0
85.684,0,5.12106268502077e-09,0,0
85.685,0,5.09852782215603e-09,0,0
85.686,0,5.08273156896155e-09,0,0
85.687,0,5.0669353157673e-09,0,0
85.688,0,5.05113906257282e-09,0,0
85.689,0,5.03534280937834e-09,0,0
85.69,0,5.01974017907963e-09,0,0
85.691,0,5.00413754878071e-09,0,0
85.692,0,4.98853491848178e-09,0,0
85.693,0,4.97293228818307e-09,0,0
85.694,0,4.95580583977539e-09,0,0
85.695,0,4.9386793913677e-09,0,0
85.696,0,4.92155294296026e-09,0,0
85.697,0,4.90007086758235e-09,0,0
85.698,0,4.87858879220443e-09,0,0
85.699,0,4.85710671682682e-09,0,0
85.7,0,4.84289408575473e-09,0,0
85.701,0,4.82868145468264e-09,0,0
85.702,0,4.81446882361075e-09,0,0
85.703,0,4.80025619253865e-09,0,0
85.704,0,4.7853667695107e-09,0,0
85.705,0,4.77047734648295e-09,0,0
85.706,0,4.75558792345499e-09,0,0
85.707,0,4.74069850042696e-09,0,0
85.708,0,4.7211159426296e-09,0,0
85.709,0,4.70153338483196e-09,0,0
85.71,0,4.68195082703439e-09,0,0
85.711,0,4.66742022808825e-09,0,0
85.712,0,4.65288962914191e-09,0,0
