time,_joy_in_use,charmander.mode,emergency_latched,emergency_state,gripper.state,kf.R,kf.x[0],kf.x[1],kf.x[2],kf.x[3],motor_voltage,position_pid.d_out,position_pid.kd,position_pid.kp,position_pid.output,position_pid.p_out,qei.alpha_estimate,qei.omega,qei.omega_filtered,qei.theta,test_voltage,trajectory.current,trajectory.state,velocity_pid.i_out,velocity_pid.ki,velocity_pid.kp,velocity_pid.output,velocity_pid.p_out,
0.376,0,0,0,0,0,0.00004999999873689376,0,0,0,0,0,0,0.11999999731779099,3,0,0,0,0,0,0,0,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.383,0,0,0,0,0,0.00004999999873689376,0,0,0,0,0,0,0.11999999731779099,3,0,0,0,0,0,0,0,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.389,0,0,0,0,0,0.00004999999873689376,0,0,0,0,0,0,0.11999999731779099,3,0,0,0,0,0,0,0,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.394,0,0,0,0,0,0.00004999999873689376,0,0,0,0,0,0,0.11999999731779099,3,0,0,0,0,0,0,0,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.4,0,0,0,0,0,0.00004999999873689376,0,0,0,0,0,0,0.11999999731779099,3,0,0,0,0,0,0,0,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.405,0,0,0,0,0,0.00004999999873689376,0,0,0,0,0,0,0.11999999731779099,3,0,0,0,0,0,0,0,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.411,0,0,0,0,0,0.00004999999873689376,0,0,0,0,0,0,0.11999999731779099,3,0,0,0,0,0,0,0,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.417,0,0,0,0,0,0.00004999999873689376,0,0,0,0,0,0,0.11999999731779099,3,0,0,0,0,0,0,0,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.423,0,0,0,0,0,0.00004999999873689376,0,0,0,0,0,0,0.11999999731779099,3,0,0,0,0,0,0,0,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.432,0,0,0,0,0,0.00004999999873689376,0,0,0,0,0,0,0.11999999731779099,3,0,0,0,0,0,0,0,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.438,0,0,0,0,0,0.00004999999873689376,0,0,0,0,0,0,0.11999999731779099,3,0,0,0,0,0,0,0,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.444,0,0,0,0,0,0.00004999999873689376,0,0,0,0,0,0,0.11999999731779099,3,0,0,0,0,0,0,0,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.45,0,0,0,0,0,0.00004999999873689376,0,0,0,0,0,0,0.11999999731779099,3,0,0,0,0,0,0,0,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.456,0,0,0,0,0,0.00004999999873689376,0,0,0,0,0,0,0.11999999731779099,3,0,0,0,0,0,0,0,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.462,0,0,0,0,0,0.00004999999873689376,0,0,0,0,0,0,0.11999999731779099,3,0,0,0,0,0,0,0,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.467,0,0,0,0,0,0.00004999999873689376,0,0,0,0,0,0,0.11999999731779099,3,0,0,0,0,0,0,0,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.473,0,0,0,0,0,0.00004999999873689376,0,0,0,0,0,0,0.11999999731779099,3,0,0,0,0,0,0,0,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.478,0,0,0,0,0,0.00004999999873689376,0,0,0,0,0,0,0.11999999731779099,3,0,0,0,0,0,0,0,0,0,0,0.09300000220537186,6.699999809265137,0,0,
0.484,0,0,0,0,0,0.00004999999873689376,0,0,0,0,0,0,0.11999999731779099,3,0,0,0,0,0,0,0,0,0,0,0.09300000220537186,6.699999809265137,0,0,
