time,QEIdata.omega,QEIdata.theta,Voltage
0.286,3.067961693,0.580146074,12
0.287,3.067961693,0.58290714,12
0.288,1.533980846,0.584747851,12
0.289,1.533980846,0.586895347,12
0.29,1.533980846,0.589042842,12
0.291,3.067961693,0.591190338,12
0.292,1.533980846,0.592724264,12
0.293,3.067961693,0.59548533,12
0.295,3.067961693,0.597632825,12
0.295,1.533980846,0.599473536,12
0.296,3.067961693,0.601927817,12
0.297,3.067961693,0.603461742,12
0.298,3.067961693,0.606222808,12
0.299,3.067961693,0.608370304,12
0.301,1.533980846,0.610824585,12
0.302,1.533980846,0.612665296,12
0.303,3.067961693,0.615426362,12
0.304,1.533980846,0.617573857,12
0.305,1.533980846,0.619721353,12
0.306,1.533980846,0.621868849,12
0.307,0,0.62432313,12
0.308,1.533980846,0.626777411,12
0.309,3.067961693,0.629231691,12
0.31,1.533980846,0.631072402,12
0.311,3.067961693,0.633219898,12
0.312,3.067961693,0.635367393,12
0.313,1.533980846,0.636901319,12
0.314,3.067961693,0.6393556,12
0.315,3.067961693,0.641503096,12
0.316,0,0.643343806,12
0.317,1.533980846,0.645491302,12
0.318,1.533980846,0.647638798,12
0.319,3.067961693,0.649786294,12
0.32,1.533980846,0.651627004,12
0.321,1.533980846,0.654081285,12
0.323,3.067961693,0.656535566,12
0.323,3.067961693,0.658376276,12
0.324,1.533980846,0.660523772,12
0.325,1.533980846,0.662057698,12
0.326,1.533980846,0.664205194,12
0.327,1.533980846,0.666352689,12
0.329,1.533980846,0.669113755,12
0.33,1.533980846,0.670954466,12
0.331,1.533980846,0.673101962,12
0.332,1.533980846,0.675249457,12
0.333,1.533980846,0.677396953,12
0.334,3.067961693,0.679544449,12
0.335,1.533980846,0.681385159,12
0.336,3.067961693,0.68383944,12
0.337,1.533980846,0.685680151,12
0.338,3.067961693,0.688134432,12
0.339,1.533980846,0.689975142,12
0.34,1.533980846,0.691815853,12
0.341,3.067961693,0.693963349,12
0.342,1.533980846,0.696110845,12
0.343,1.533980846,0.697951555,12
0.344,1.533980846,0.700099051,12
0.345,3.067961693,0.702553332,12
0.346,1.533980846,0.704394042,12
0.347,1.533980846,0.706541538,12
0.348,1.533980846,0.708995819,12
0.349,1.533980846,0.71083653,12
0.35,1.533980846,0.712984025,12
0.351,1.533980846,0.715131521,12
0.352,1.533980846,0.717279017,12
0.353,1.533980846,0.719426513,12
0.354,1.533980846,0.721267223,12
0.355,1.533980846,0.723721504,12
0.356,1.533980846,0.726175785,12
0.357,1.533980846,0.728323281,12
0.358,3.067961693,0.730777562,12
0.359,1.533980846,0.732618272,12
0.36,3.067961693,0.734458983,12
0.361,3.067961693,0.736606479,12
0.362,1.533980846,0.738447189,12
0.363,3.067961693,0.741208255,12
0.365,3.067961693,0.743662536,12
0.366,3.067961693,0.745810032,12
0.367,3.067961693,0.747957528,12
0.368,1.533980846,0.749798238,12
0.369,3.067961693,0.751945734,12
0.37,0,0.753786445,12
0.371,1.533980846,0.756547511,12
0.372,1.533980846,0.758695006,12
0.373,1.533980846,0.760842502,12
0.374,1.533980846,0.762989998,12
0.375,3.067961693,0.765444279,12
0.376,3.067961693,0.76789856,12
0.377,3.067961693,0.770966411,12
0.378,1.533980846,0.773113906,12
0.38,1.533980846,0.775568187,12
0.381,3.067961693,0.777408898,12
0.382,3.067961693,0.779863179,12
0.382,3.067961693,0.782010674,12
0.383,1.533980846,0.783851385,12
0.384,1.533980846,0.786305666,12
0.385,1.533980846,0.787839592,12
0.386,1.533980846,0.789987087,12
0.387,1.533980846,0.791521013,12
0.388,3.067961693,0.793975294,12
0.389,1.533980846,0.795509219,12
0.39,1.533980846,0.797656715,12
0.391,1.533980846,0.79919064,12
0.392,1.533980846,0.801338136,12
0.393,1.533980846,0.803485632,12
0.394,1.533980846,0.805326402,12
0.395,1.533980846,0.807780683,12
0.396,1.533980846,0.809314609,12
0.397,1.533980846,0.811462104,12
0.397,1.533980846,0.813302815,12
0.398,1.533980846,0.815143526,12
0.399,1.533980846,0.817291081,12
0.4,3.067961693,0.819438577,12
0.401,1.533980846,0.821586072,12
0.402,1.533980846,0.823119998,12
0.403,1.533980846,0.825267494,12
0.404,1.533980846,0.827108204,12
0.405,1.533980846,0.8292557,12
0.406,1.533980846,0.830789626,12
0.407,1.533980846,0.832937121,12
0.408,0,0.834471047,12
0.409,3.067961693,0.837232113,12
0.41,1.533980846,0.838766038,12
0.411,1.533980846,0.840913534,12
0.412,1.533980846,0.84306103,12
0.413,3.067961693,0.845208526,12
0.414,1.533980846,0.847049236,12
0.415,1.533980846,0.848583162,12
0.415,1.533980846,0.850730658,12
0.416,1.533980846,0.852264583,12
0.417,1.533980846,0.854412079,12
0.418,3.067961693,0.85686636,12
0.419,1.533980846,0.85870707,12
0.42,3.067961693,0.860547781,12
0.421,1.533980846,0.862388492,12
0.422,3.067961693,0.864229202,12
0.423,1.533980846,0.866376698,12
0.424,3.067961693,0.868217409,12
0.425,1.533980846,0.870058119,12
0.426,3.067961693,0.872819185,12
0.427,1.533980846,0.874353111,12
0.428,3.067961693,0.876193821,12
0.429,1.533980846,0.878034532,12
0.43,3.067961693,0.880182028,12
0.431,1.533980846,0.881715953,12
0.431,1.533980846,0.883249879,12
0.432,1.533980846,0.88570416,12
0.433,1.533980846,0.88754487,12
0.434,3.067961693,0.889692366,12
0.435,1.533980846,0.891226292,12
0.436,3.067961693,0.893373787,12
0.437,3.067961693,0.895214498,12
0.438,1.533980846,0.897055209,12
0.439,3.067961693,0.898895919,12
0.44,3.067961693,0.901043415,12
0.441,1.533980846,0.902884126,12
0.442,1.533980846,0.904418051,12
0.443,1.533980846,0.906565547,12
0.443,3.067961693,0.908713043,12
0.444,3.067961693,0.910246968,12
0.445,1.533980846,0.912394464,12
0.446,1.533980846,0.91454196,12
0.447,3.067961693,0.91638267,12
0.448,3.067961693,0.918530166,12
0.449,1.533980846,0.920064092,12
0.45,3.067961693,0.922211587,12
0.451,1.533980846,0.923745513,12
0.452,3.067961693,0.925893009,12
0.453,3.067961693,0.927733719,12
0.454,1.533980846,0.92957443,12
0.455,3.067961693,0.932028711,12
0.455,1.533980846,0.933869421,12
0.456,1.533980846,0.935710132,12
0.457,3.067961693,0.937857628,12
0.458,3.067961693,0.940005124,12
0.459,1.533980846,0.941539049,12
0.46,1.533980846,0.94399333,12
0.461,1.533980846,0.945527256,12
0.462,1.533980846,0.947674751,12
0.463,3.067961693,0.949515462,12
0.464,1.533980846,0.951662958,12
0.465,3.067961693,0.953503668,12
0.466,1.533980846,0.955344379,12
0.467,3.067961693,0.95718509,12
0.468,1.533980846,0.95963937,12
0.469,1.533980846,0.961480081,12
0.47,3.067961693,0.963320792,12
0.47,3.067961693,0.965468287,12
0.471,1.533980846,0.967002213,12
0.472,3.067961693,0.969149709,12
0.473,1.533980846,0.971297204,12
0.474,3.067961693,0.9734447,12
0.475,1.533980846,0.974978626,12
0.476,3.067961693,0.977126122,12
0.477,1.533980846,0.978966832,12
0.478,3.067961693,0.980807543,12
0.479,1.533980846,0.982648253,12
0.48,1.533980846,0.984795749,12
0.481,3.067961693,0.986943245,12
0.482,3.067961693,0.989090741,12
0.483,3.067961693,0.990931451,12
0.484,3.067961693,0.992772162,12
0.485,3.067961693,0.994612873,12
0.486,1.533980846,0.996760368,12
0.486,1.533980846,0.998601079,12
0.487,3.067961693,1.000748634,12
0.489,3.067961693,1.003203154,12
0.49,1.533980846,1.005044103,12
0.491,1.533980846,1.007498622,12
0.492,1.533980846,1.009646297,12
0.493,1.533980846,1.011793971,12
0.494,1.533980846,1.013941646,12
0.495,1.533980846,1.016396165,12
0.496,1.533980846,1.018237114,12
0.497,1.533980846,1.020384789,12
0.498,3.067961693,1.022532344,12
0.499,1.533980846,1.024373293,12
0.5,1.533980846,1.026520967,12
0.501,3.067961693,1.028668642,12
0.502,1.533980846,1.031123161,12
0.503,3.067961693,1.033577681,12
0.504,1.533980846,1.03541863,12
0.505,1.533980846,1.037566304,12
0.506,1.533980846,1.039407253,12
0.507,1.533980846,1.041554928,12
0.508,1.533980846,1.044009328,12
0.51,1.533980846,1.046157002,12
0.511,3.067961693,1.048304677,12
0.512,3.067961693,1.050452352,12
0.513,3.067961693,1.052600026,12
0.514,3.067961693,1.054440975,12
0.515,1.533980846,1.056281924,12
0.516,1.533980846,1.059350014,12
0.517,3.067961693,1.061497688,12
0.518,3.067961693,1.063645363,12
0.519,1.533980846,1.066099882,12
0.52,3.067961693,1.067940712,12
0.521,3.067961693,1.070088387,12
0.522,1.533980846,1.072542906,12
0.523,3.067961693,1.07469058,12
0.524,1.533980846,1.076531529,12
0.525,3.067961693,1.078679204,12
0.526,1.533980846,1.080826759,12
0.527,3.067961693,1.082974434,12
0.528,1.533980846,1.085122108,12
0.529,1.533980846,1.086963058,12
0.53,3.067961693,1.089417458,12
0.531,3.067961693,1.091565132,12
0.532,1.533980846,1.093406081,12
0.533,1.533980846,1.095553756,12
0.534,3.067961693,1.09770143,12
0.535,1.533980846,1.099849105,12
0.536,1.533980846,1.102303624,12
0.538,1.533980846,1.104451299,12
0.539,3.067961693,1.107212543,12
0.54,3.067961693,1.108746648,12
0.541,3.067961693,1.111507893,12
0.542,3.067961693,1.113348722,12
0.543,1.533980846,1.115189672,12
0.544,1.533980846,1.117950916,12
0.545,1.533980846,1.119791865,12
0.546,3.067961693,1.122246265,12
0.547,1.533980846,1.12378037,12
0.548,1.533980846,1.125928044,12
0.549,1.533980846,1.128075719,12
0.55,1.533980846,1.130223393,12
0.551,3.067961693,1.132677913,12
0.552,1.533980846,1.134518862,12
0.553,3.067961693,1.136359692,12
0.554,3.067961693,1.138507366,12
0.555,3.067961693,1.140655041,12
0.556,3.067961693,1.142802715,12
0.557,3.067961693,1.145257235,12
0.558,1.533980846,1.147404909,12
0.559,1.533980846,1.149859428,12
0.56,0,1.151700258,12
0.561,1.533980846,1.153847933,12
0.562,3.067961693,1.156302333,12
0.563,1.533980846,1.158143282,12
0.564,3.067961693,1.160904527,12
0.566,3.067961693,1.163972616,12
0.567,1.533980846,1.165813446,12
0.568,1.533980846,1.167961121,12
0.569,1.533980846,1.170108795,12
0.57,3.067961693,1.17225647,12
0.571,1.533980846,1.174404263,12
0.572,3.067961693,1.176551938,12
0.573,3.067961693,1.178699493,12
0.574,3.067961693,1.180847168,12
0.575,1.533980846,1.183301687,12
0.576,3.067961693,1.185449362,12
0.577,1.533980846,1.187290311,12
0.578,1.533980846,1.189438105,12
0.579,1.533980846,1.191585779,12
0.58,1.533980846,1.193426728,12
0.581,0,1.195881128,12
0.582,3.067961693,1.198335528,12
