time,motor_voltage,qei.omega,qei.theta
1.431,0.907383263,0,0.604069806
1.438,0.808074176,0,0.604069806
1.443,0.708162367,0,0.604069806
1.448,0.636448979,0,0.604069806
1.453,0.564461708,0,0.604069806
1.457,0.492215097,0,0.604069806
1.461,0.434240818,0,0.604069806
1.465,0.376117438,0,0.604069806
1.469,0.317852616,0,0.604069806
1.473,0.259454072,0,0.604069806
1.479,0.200929582,0,0.604069806
1.484,0.112924054,0,0.604069806
1.49,0.024679938,0,0.604069806
1.495,-0.034268539,0,0.604069806
1.5,-0.122849353,0,0.604069806
1.506,-0.19679381,0,0.604069806
1.512,-0.285655171,0,0.604069806
1.518,-0.37462908,0,0.604069806
1.525,-0.463686556,0,0.604069806
1.533,-0.552798212,0,0.604069806
1.545,-0.686502218,0,0.604069806
1.554,-0.849844396,0,0.604069806
1.563,-0.998117685,0,0.604069806
1.571,-1.131261468,0,0.604069806
1.578,-1.249281406,0,0.604069806
1.583,-1.35223186,0,0.604069806
1.591,-1.425556779,0,0.604069806
1.599,-1.542458177,0,0.604069806
1.608,-1.658776283,0,0.604069806
1.617,-1.788839221,0,0.604069806
1.624,-1.917951345,0,0.604069806
1.631,-2.017641544,0,0.604069806
1.638,-2.116633892,0,0.604069806
1.646,-2.214873791,0,0.604069806
1.652,-2.326156855,0,0.604069806
1.658,-2.408878565,0,0.604069806
1.664,-2.490926504,0,0.604069806
1.669,-2.558760643,0,0.604069806
1.673,-2.626082659,0,0.604069806
1.679,-2.692872763,0,0.604069806
1.684,-2.759110689,0,0.604069806
1.688,-2.837838888,0,0.604069806
1.694,-2.889849186,0,0.604069806
1.699,-2.967126131,0,0.604069806
1.705,-3.030823946,0,0.604069806
1.712,-3.106392384,0,0.604069806
1.718,-3.193312645,0,0.604069806
1.724,-3.266710758,0,0.604069806
1.729,-3.3390522,0,0.604069806
1.735,-3.398504496,0,0.604069806
1.741,-3.468818903,0,0.604069806
1.748,-3.526533604,0,0.604069806
1.754,-3.617160082,0,0.604069806
1.759,-3.683701038,0,0.604069806
1.765,-3.738188744,0,0.604069806
1.769,-3.802389145,0,0.603763021
1.775,-3.844455719,0,0.603149451
1.78,-3.906430721,0,0.602535881
1.785,-3.957023859,0,0.601615526
1.79,-3.996795893,0,0.6000816
1.796,-4.045617104,0,0.598547674
1.802,-4.11226368,0,0.596093394
1.809,-4.167773247,0,0.593639113
1.815,-4.239408493,0,0.590878047
1.82,-4.282770634,0,0.587810196
1.827,-4.325026989,0,0.583821989
1.833,-4.382293701,0,0.580754138
1.838,-4.429590225,0,0.577686287
1.844,-4.467719078,0,0.574004866
1.849,-4.504662514,0,0.57001666
1.855,-4.54740572,-1.533980846,0.566028453
1.86,-4.58838892,-1.533980846,0.563267387
1.865,-4.62117672,-1.533980846,0.560506321
1.869,-4.652707577,0,0.55743847
1.873,-4.677015781,0,0.554984189
1.878,-4.706243992,-1.533980846,0.551916338
1.882,-4.723157406,-1.533980846,0.548541702
1.887,-4.75029707,-1.533980846,0.546087421
1.892,-4.77611351,-1.533980846,0.54179243
1.898,-4.800590992,-1.533980846,0.537497438
1.904,-4.828177929,0,0.532895662
1.911,-4.853794098,0,0.52860067
1.916,-4.881158352,-1.533980846,0.523385323
1.923,-4.899023056,-1.533980846,0.519397117
1.927,-4.918592453,0,0.515408911
1.933,-4.936103344,-1.533980846,0.511420704
1.938,-4.949109554,0,0.507739283
1.942,-4.960661888,0,0.504671432
1.946,-4.968849182,-1.533980846,0.500990011
1.951,-4.976094246,-1.533980846,0.497615374
