time,_joy_in_use,charmander.mode,emergency_latched,emergency_state,gripper.state,kf.R,kf.x[0],kf.x[1],kf.x[2],kf.x[3],motor_voltage,position_pid.d_out,position_pid.kd,position_pid.kp,position_pid.output,position_pid.p_out,qei.alpha_estimate,qei.omega,qei.omega_filtered,qei.theta,reference.acceleration,reference.position,reference.velocity,trajectory.current,trajectory.state,velocity_pid.i_out,velocity_pid.ki,velocity_pid.kp,velocity_pid.output,velocity_pid.p_out,
0.126,0,0,0,0,0,7.849999761333493e-9,-0.005522332154214382,0.0000011635519285846385,-2.6510974748816807e-7,-0.000001894135493785143,0,0,0,0,0,0,1.0544849021743019e-10,0,0.0000011635519285846385,-0.005522332154214382,0,0,0,0,0,0,0,82,-0.00009541125473333523,-0.00009541125473333523,
0.128,0,0,0,0,0,7.849999761333493e-9,-0.005522332154214382,0.0000011635519285846385,-2.6510974748816807e-7,-0.000001894135493785143,0,0,0,0,0,0,1.0544849021743019e-10,0,0.0000011635519285846385,-0.005522332154214382,0,0,0,0,0,0,0,82,-0.00009541125473333523,-0.00009541125473333523,
0.131,0,0,0,0,0,7.849999761333493e-9,-0.005522332154214382,0.0000011635519285846385,-2.6510974748816807e-7,-0.000001894135493785143,0,0,0,0,0,0,1.0544849021743019e-10,0,0.0000011635519285846385,-0.005522332154214382,0,0,0,0,0,0,0,82,-0.00009541125473333523,-0.00009541125473333523,
0.134,0,0,0,0,0,7.849999761333493e-9,-0.005522332154214382,0.0000011635519285846385,-2.6510974748816807e-7,-0.000001894135493785143,0,0,0,0,0,0,1.0544849021743019e-10,0,0.0000011635519285846385,-0.005522332154214382,0,0,0,0,0,0,0,82,-0.00009541125473333523,-0.00009541125473333523,
0.138,0,0,0,0,0,7.849999761333493e-9,-0.005522332154214382,0.0000011635519285846385,-2.6510974748816807e-7,-0.000001894135493785143,0,0,0,0,0,0,1.0544849021743019e-10,0,0.0000011635519285846385,-0.005522332154214382,0,0,0,0,0,0,0,82,-0.00009541125473333523,-0.00009541125473333523,
0.141,0,0,0,0,0,7.849999761333493e-9,-0.005522332154214382,0.0000011635519285846385,-2.6510974748816807e-7,-0.000001894135493785143,0,0,0,0,0,0,1.0544849021743019e-10,0,0.0000011635519285846385,-0.005522332154214382,0,0,0,0,0,0,0,82,-0.00009541125473333523,-0.00009541125473333523,
0.144,0,0,0,0,0,7.849999761333493e-9,-0.005522332154214382,0.0000011635519285846385,-2.6510974748816807e-7,-0.000001894135493785143,0,0,0,0,0,0,1.0544849021743019e-10,0,0.0000011635519285846385,-0.005522332154214382,0,0,0,0,0,0,0,82,-0.00009541125473333523,-0.00009541125473333523,
0.146,0,0,0,0,0,7.849999761333493e-9,-0.005522332154214382,0.0000011635519285846385,-2.6510974748816807e-7,-0.000001894135493785143,0,0,0,0,0,0,1.0544849021743019e-10,0,0.0000011635519285846385,-0.005522332154214382,0,0,0,0,0,0,0,82,-0.00009541125473333523,-0.00009541125473333523,
0.15,0,0,0,0,0,7.849999761333493e-9,-0.005522332154214382,0.0000011635519285846385,-2.6510974748816807e-7,-0.000001894135493785143,0,0,0,0,0,0,1.0544849021743019e-10,0,0.0000011635519285846385,-0.005522332154214382,0,0,0,0,0,0,0,82,-0.00009541125473333523,-0.00009541125473333523,
0.153,0,0,0,0,0,7.849999761333493e-9,-0.005522332154214382,0.0000011635519285846385,-2.6510974748816807e-7,-0.000001894135493785143,0,0,0,0,0,0,1.0544849021743019e-10,0,0.0000011635519285846385,-0.005522332154214382,0,0,0,0,0,0,0,82,-0.00009541125473333523,-0.00009541125473333523,
0.156,0,0,0,0,0,7.849999761333493e-9,-0.005522332154214382,0.0000011635519285846385,-2.6510974748816807e-7,-0.000001894135493785143,0,0,0,0,0,0,1.0544849021743019e-10,0,0.0000011635519285846385,-0.005522332154214382,0,0,0,0,0,0,0,82,-0.00009541125473333523,-0.00009541125473333523,
0.159,0,0,0,0,0,7.849999761333493e-9,-0.005522332154214382,0.0000011635519285846385,-2.6510974748816807e-7,-0.000001894135493785143,0,0,0,0,0,0,1.0544849021743019e-10,0,0.0000011635519285846385,-0.005522332154214382,0,0,0,0,0,0,0,82,-0.00009541125473333523,-0.00009541125473333523,
