time,_joy_in_use,charmander.mode,emergency_latched,emergency_state,gripper.state,kf.R,kf.x[0],kf.x[1],kf.x[2],kf.x[3],motor_voltage,position_pid.d_out,position_pid.kd,position_pid.kp,position_pid.output,position_pid.p_out,qei.alpha_estimate,qei.omega,qei.omega_filtered,qei.theta,test_voltage,trajectory.current,trajectory.state,velocity_pid.i_out,velocity_pid.ki,velocity_pid.kp,velocity_pid.output,velocity_pid.p_out,
3.948,0,0,0,0,0,7.849999761333493e-9,0.8252813220024109,1.2769758701324463,0.7452392578125,0.042954739183187485,9.372398376464844,0,0.11999999731779099,3,0,0,5.966316223144531,1.5339808464050293,1.28740656375885,0.8274288177490234,9.372398376464844,0,0,0,0.09300000220537186,6.699999809265137,0,0,
3.952,0,0,0,0,0,7.849999761333493e-9,0.8310641050338745,1.3045217990875244,0.7470631003379822,0.030645178630948067,9.449784278869629,0,0.11999999731779099,3,0,0,5.820269584655762,1.5339808464050293,1.3147857189178467,0.8332577347755432,9.449784278869629,0,0,0,0.09300000220537186,6.699999809265137,0,0,
3.956,0,0,0,0,0,7.849999761333493e-9,0.8369391560554504,1.3310434818267822,0.7494709491729736,0.02815038524568081,9.522270202636719,0,0.11999999731779099,3,0,0,5.608188629150391,1.5339808464050293,1.343288540840149,0.8397002220153809,9.522270202636719,0,0,0,0.09300000220537186,6.699999809265137,0,0,
3.961,0,0,0,0,0,7.849999761333493e-9,0.8433816432952881,1.3582098484039307,0.7507347464561462,0.025594232603907585,9.589805603027344,0,0.11999999731779099,3,0,0,5.411683082580566,1.5339808464050293,1.3672279119491577,0.8455291390419006,9.589805603027344,0,0,0,0.09300000220537186,6.699999809265137,0,0,
3.964,0,0,0,0,0,7.849999761333493e-9,0.8489037752151489,1.3805203437805176,0.7525565028190613,0.022409023717045784,9.65234375,0,0.11999999731779099,3,0,0,5.2512359619140625,3.0679616928100586,1.389140009880066,0.8510512709617615,9.65234375,0,0,0,0.09300000220537186,6.699999809265137,0,0,
3.968,0,0,0,0,0,7.849999761333493e-9,0.8544259071350098,1.4012178182601929,0.754187285900116,0.022821247577667236,9.709839820861816,0,0.11999999731779099,3,0,0,5.065324306488037,1.5339808464050293,1.4094122648239136,0.8565734028816223,9.709839820861816,0,0,0,0.09300000220537186,6.699999809265137,0,0,
3.972,0,0,0,0,0,7.849999761333493e-9,0.8602548241615295,1.4224172830581665,0.75514155626297,0.020991256460547447,9.762249946594238,0,0.11999999731779099,3,0,0,4.842128753662109,1.5339808464050293,1.4306634664535522,0.862709105014801,9.762249946594238,0,0,0,0.09300000220537186,6.699999809265137,0,0,
3.977,0,0,0,0,0,7.849999761333493e-9,0.8670040965080261,1.446181297302246,0.7549436688423157,0.01654256321489811,9.80953598022461,0,0.11999999731779099,3,0,0,4.657818794250488,1.5339808464050293,1.4517614841461182,0.8688448071479797,9.80953598022461,0,0,0,0.09300000220537186,6.699999809265137,0,0,
3.98,0,0,0,0,0,7.849999761333493e-9,0.8728330135345459,1.4671694040298462,0.7558856010437012,0.013521168380975723,9.861379623413086,0,0.11999999731779099,3,0,0,4.517038822174072,1.5339808464050293,1.4724626541137695,0.8749805092811584,9.861379623413086,0,0,0,0.09300000220537186,6.699999809265137,0,0,
3.985,0,0,0,0,0,7.849999761333493e-9,0.8795822858810425,1.4881997108459473,0.7540914416313171,0.005052687134593725,9.88858699798584,0,0.11999999731779099,3,0,0,4.287618637084961,1.5339808464050293,1.4972405433654785,0.8823433518409729,9.88858699798584,0,0,0,0.09300000220537186,6.699999809265137,0,0,
